city_ascii,Latitude,Longitude,country,State,population,id,ID,Icon_ID,Icon_Size,Opacity
Waraseoni,21.7647,80.0494,India,Madhya Pradesh,176291,1356634180,walmart potential location,0,50,1
Mauli,30.699,76.693,India,Punjab,176152,1356181198,walmart potential location,0,50,1
Kotdwara,29.75,78.53,India,Uttarakhand,175232,1356826143,walmart potential location,0,50,1
Cuddalore,11.75,79.75,India,Tamil Nadu,173676,1356544008,walmart potential location,0,50,1
Deo,24.6561,84.4356,India,Bihar,173216,1356131438,walmart potential location,0,50,1
Silchar,24.82,92.8,India,Assam,172830,1356102467,walmart potential location,0,50,1
Chirala,15.8246,80.3521,India,Andhra Pradesh,172826,1356100300,walmart potential location,0,50,1
Gadag,15.4167,75.6167,India,Karnataka,172813,1356659359,walmart potential location,0,50,1
Tiruvannamalai,12.13,79.07,India,Tamil Nadu,172348,1356561184,walmart potential location,0,50,1
Bidar,17.912,77.52,India,Karnataka,172298,1356933453,walmart potential location,0,50,1
Valsad,20.61,72.926,India,Gujarat,170060,1356306193,walmart potential location,0,50,1
Machilipatnam,16.17,81.13,India,Andhra Pradesh,170000,1356067784,walmart potential location,0,50,1
Medinipur,22.424,87.319,India,West Bengal,169264,1356432910,walmart potential location,0,50,1
Damoh,23.8331,79.4419,India,Madhya Pradesh,168916,1356070737,walmart potential location,0,50,1
Neyveli,11.6088,79.4994,India,Tamil Nadu,168368,1356265572,walmart potential location,0,50,1
Baramula,34.2,74.34,India,Jammu and Kashmir,167986,1356671176,walmart potential location,0,50,1
Jind,29.3167,76.3167,India,Haryana,167592,1356620188,walmart potential location,0,50,1
Chandannagar,22.8671,88.3674,India,West Bengal,166867,1356174802,walmart potential location,0,50,1
Adoni,15.6244,77.2731,India,Andhra Pradesh,166344,1356357749,walmart potential location,0,50,1
Udipi,13.3389,74.7451,India,Karnataka,165401,1356145399,walmart potential location,0,50,1
Fyzabad,26.773,82.146,India,Uttar Pradesh,165228,1356032860,walmart potential location,0,50,1
Tenali,16.239,80.645,India,Andhra Pradesh,164937,1356831482,walmart potential location,0,50,1
Conjeeveram,12.8308,79.7078,India,Tamil Nadu,164384,1356148941,walmart potential location,0,50,1
Proddatur,14.73,78.55,India,Andhra Pradesh,163970,1356025913,walmart potential location,0,50,1
Sultanpur Mazra,28.6981,77.0689,India,Delhi,163716,1356062549,walmart potential location,0,50,1
Wapi,20.372,72.917,India,,163630,1356248785,walmart potential location,0,50,1
Chitaldrug,14.2333,76.4,India,Karnataka,161966,1356668514,walmart potential location,0,50,1
Godhra,22.7772,73.6203,India,Gujarat,161925,1356386046,walmart potential location,0,50,1
Multai,21.77,78.25,India,Madhya Pradesh,161819,1356137691,walmart potential location,0,50,1
Rajapalaiyam,9.4204,77.58,India,Tamil Nadu,161445,1356110350,walmart potential location,0,50,1
Chittoor,13.216,79.098,India,Andhra Pradesh,160722,1356026391,walmart potential location,0,50,1
Moga,30.822,75.174,India,Punjab,159897,1356017151,walmart potential location,0,50,1
Budaun,28.05,79.12,India,Uttar Pradesh,159221,1356639213,walmart potential location,0,50,1
Uttarpara,22.67,88.35,India,West Bengal,159147,1356370311,walmart potential location,0,50,1
Bharuch,21.6948,72.9805,India,Gujarat,158253,1356981799,walmart potential location,0,50,1
Saharsa,25.88,86.6,India,Bihar,156540,1356492911,walmart potential location,0,50,1
Vidisha,23.5239,77.8061,India,Madhya Pradesh,155959,1356299932,walmart potential location,0,50,1
Pathankot,32.2668,75.6,India,Punjab,155909,1356878237,walmart potential location,0,50,1
Thanesar,29.9667,76.8167,India,Haryana,154962,1356380934,walmart potential location,0,50,1
Rudarpur,28.9708,79.3972,India,Uttarakhand,154485,1356437436,walmart potential location,0,50,1
Nalgonda,17.05,79.27,India,Andhra Pradesh,154326,1356414359,walmart potential location,0,50,1
Dibrugarh,27.48,95,India,Assam,154019,1356100193,walmart potential location,0,50,1
Veraval,20.9,70.37,India,Gujarat,153696,1356346826,walmart potential location,0,50,1
Balurghat,25.22,88.76,India,West Bengal,153279,1356496150,walmart potential location,0,50,1
Jorhat,26.75,94.22,India,Assam,153249,1356638741,walmart potential location,0,50,1
Krishnanagar,23.4,88.5,India,West Bengal,153062,1356128689,walmart potential location,0,50,1
Barakpur,22.7642,88.3776,India,West Bengal,152783,1356768708,walmart potential location,0,50,1
Shantipur,23.25,88.43,India,West Bengal,151777,1356584320,walmart potential location,0,50,1
Hindupur,13.83,77.49,India,Andhra Pradesh,151677,1356805611,walmart potential location,0,50,1
Beawar,26.1011,74.3203,India,Rajasthan,151472,1356028963,walmart potential location,0,50,1
Bhalswa Jahangirpur,28.7354,77.1638,India,Delhi,151427,1356078316,walmart potential location,0,50,1
Erode,11.3409,77.7171,India,Tamil Nadu,151184,1356040695,walmart potential location,0,50,1
Nangloi Jat,28.6833,77.0667,India,Delhi,150371,1356389587,walmart potential location,0,50,1
Kolar,13.1333,78.1333,India,Karnataka,150357,1356953848,walmart potential location,0,50,1
Soro,21.29,86.69,India,Odisha,150000,1356411349,walmart potential location,0,50,1
Sitarganj,28.93,79.7,India,Uttarakhand,148266,1356157911,walmart potential location,0,50,1
Hajipur,25.6925,85.2084,India,Bihar,147688,1356014808,walmart potential location,0,50,1
Habra,22.83,88.63,India,West Bengal,147221,1356091822,walmart potential location,0,50,1
Nowgong,26.3492,92.6861,India,Assam,147137,1356273589,walmart potential location,0,50,1
Bir,18.9833,75.7667,India,Maharashtra,146709,1356753116,walmart potential location,0,50,1
Narnaul,28.0444,76.1056,India,Haryana,145897,1356512084,walmart potential location,0,50,1
Etah,27.63,78.67,India,Uttar Pradesh,145601,1356096916,walmart potential location,0,50,1
Abohar,30.1334,74.2001,India,Punjab,145302,1356846795,walmart potential location,0,50,1
Kaithal,29.8015,76.3998,India,Haryana,144915,1356810758,walmart potential location,0,50,1
Chhatarpur,24.9177,79.5887,India,Madhya Pradesh,143982,1356776353,walmart potential location,0,50,1
Koiridih,24.18,86.3,India,Jharkhand,143529,1356249967,walmart potential location,0,50,1
Shillong,25.5744,91.8789,India,Meghalaya,143229,1356533936,walmart potential location,0,50,1
Rewari,28.18,76.62,India,Haryana,143021,1356557800,walmart potential location,0,50,1
Bhimavaram,16.543,81.523,India,Andhra Pradesh,142184,1356195520,walmart potential location,0,50,1
Mandsaur,24.03,75.08,India,Madhya Pradesh,141667,1356467529,walmart potential location,0,50,1
Kumbakonam,10.9602,79.3845,India,Tamil Nadu,140156,1356960436,walmart potential location,0,50,1
Chicacole,18.3,83.9,India,Andhra Pradesh,137944,1356141471,walmart potential location,0,50,1
Bankura,23.25,87.0667,India,West Bengal,137386,1356582158,walmart potential location,0,50,1
Mandya,12.5242,76.8958,India,Karnataka,137358,1356039212,walmart potential location,0,50,1
Dehri,24.91,84.18,India,Bihar,137231,1356452600,walmart potential location,0,50,1
Khargone,21.8229,75.6139,India,Madhya Pradesh,136551,1356728712,walmart potential location,0,50,1
Raigarh,21.8,83.3,India,Chhattisgarh,135363,1356458234,walmart potential location,0,50,1
Siwan,26.22,84.36,India,Bihar,135066,1356238764,walmart potential location,0,50,1
Chikmagalur,13.3167,75.7833,India,Karnataka,133651,1356137222,walmart potential location,0,50,1
Hassan,13.005,76.1028,India,Karnataka,133436,1356007455,walmart potential location,0,50,1
Gondia,21.45,80.2,India,Maharashtra,132821,1356105759,walmart potential location,0,50,1
Palwal,28.143,77.329,India,Haryana,131926,1356128481,walmart potential location,0,50,1
Palghat,10.7792,76.6547,India,Kerala,130955,1356115164,walmart potential location,0,50,1
Chittandikavundanur,10.6931,76.7188,India,Tamil Nadu,130736,1356162407,walmart potential location,0,50,1
Bongaigaon,26.4769,90.5583,India,Assam,129894,1356037877,walmart potential location,0,50,1
Mukerian,31.95,75.62,India,Punjab,129841,1356427915,walmart potential location,0,50,1
Hanumangarh,29.5833,74.3167,India,Rajasthan,129654,1356133715,walmart potential location,0,50,1
Kanchrapara,22.9456,88.4332,India,West Bengal,129576,1356022687,walmart potential location,0,50,1
Hoshangabad,22.7475,77.7274,India,Madhya Pradesh,128599,1356003812,walmart potential location,0,50,1
Chas,23.63,86.17,India,Jharkhand,128331,1356317326,walmart potential location,0,50,1
Khanna,30.7,76.22,India,Punjab,128137,1356905575,walmart potential location,0,50,1
Nagda,23.4564,75.4131,India,Madhya Pradesh,127484,1356765829,walmart potential location,0,50,1
Palni,10.45,77.5161,India,Tamil Nadu,126751,1356384365,walmart potential location,0,50,1
Guntakal,15.17,77.38,India,Andhra Pradesh,126270,1356140724,walmart potential location,0,50,1
Mothihari,26.65,84.9167,India,Bihar,126158,1356540032,walmart potential location,0,50,1
Pithampur,22.6197,75.6933,India,Madhya Pradesh,126099,1356912433,walmart potential location,0,50,1
Navadwip,23.4088,88.3657,India,West Bengal,125543,1356449184,walmart potential location,0,50,1
Patan,23.85,72.1167,India,Gujarat,125497,1356500905,walmart potential location,0,50,1
Basirhat,22.6612,88.866,India,West Bengal,125254,1356109985,walmart potential location,0,50,1
Halisahar,22.95,88.42,India,West Bengal,124939,1356242644,walmart potential location,0,50,1
Sunam,30.13,75.8,India,Punjab,124590,1356036724,walmart potential location,0,50,1
Rishra,22.71,88.35,India,West Bengal,124577,1356339732,walmart potential location,0,50,1
Jharsugra,21.85,84.03,India,Odisha,124500,1356155035,walmart potential location,0,50,1
Pali,23.35,81.05,India,Madhya Pradesh,124175,1356107944,walmart potential location,0,50,1
Nandgaon,20.307,74.657,India,Maharashtra,123191,1356282779,walmart potential location,0,50,1
Alwal,17.5047,78.5038,India,Andhra Pradesh,123031,1356947057,walmart potential location,0,50,1
Dimapur,25.92,93.73,India,Assam,122834,1356155429,walmart potential location,0,50,1
Bhadrakh,21.0545,86.5156,India,Odisha,122119,1356245799,walmart potential location,0,50,1
Dharmavaram,14.43,77.72,India,Andhra Pradesh,121874,1356879569,walmart potential location,0,50,1
Baidyabati,22.79,88.32,India,West Bengal,121110,1356079081,walmart potential location,0,50,1
Puruliya,23.3333,86.3667,India,West Bengal,121067,1356350196,walmart potential location,0,50,1
Ghazipur,25.5833,83.5667,India,Uttar Pradesh,121020,1356773744,walmart potential location,0,50,1
Bagaha,27.0992,84.09,India,Bihar,120736,1356397208,walmart potential location,0,50,1
Gudiyattam,12.9476,78.87,India,Tamil Nadu,120716,1356530159,walmart potential location,0,50,1
Gurdaspur,32.0333,75.4,India,Punjab,120564,1356120401,walmart potential location,0,50,1
Bagalkot,16.1833,75.7,India,Karnataka,120104,1356504504,walmart potential location,0,50,1
Satara,17.6833,73.9833,India,Maharashtra,120079,1356054526,walmart potential location,0,50,1
Nokha,27.6,73.42,India,Rajasthan,120000,1356674096,walmart potential location,0,50,1
